,date,hour,tweet,linea,estacion
0,06/Nov/2019,19:31:36,"El @MetroCDMX lleno de vendedores... En la estación Cuatro Caminos hay tres o cuatro por vagón... nadie intenta siquiera detenerlos, me refiero a la autoridad
@Claudiashein @SSP_CDMX https://t.co/oVycmCL7yE",linea2 ,Cuatro Caminos cuatro 
1,06/Nov/2019,19:32:20,Q paso @MetroCDMX en barranca ninguna de tus escaleras sirve y personas de la tercera edad apenas si pueden subir @MetroCDMX as algo no chinguen!!!! https://t.co/BLxTQ4irVw,linea7 ,barranca 
2,06/Nov/2019,19:32:35,"🔴 #EnDirecto Si estás por abordar la estación Tacuba de la #Línea7 del @MetroCDMX te encontrarás el buen ambiente y ska de la @LATREMENDAKORTE

#TelediarioEnEl6 | 👇 https://t.co/VqUPqVgacF https://t.co/YhKF6nW4ii",linea2 Línea7 ,Tacuba Tacuba 
3,06/Nov/2019,19:32:50,"@MetroCDMX Felicitaciones a la persona que utilizo su cerebro en beneficio de quién lo necesita , era increíble que no se pudieran usar sin una tarjeta que no servía para nada .",,
4,06/Nov/2019,19:33:04,Mi estimado @MetroCDMX que sucede en L8 dirección Garibaldi que va muy lenta??,L8 ,Garibaldi 
5,06/Nov/2019,19:33:30,@MetroCDMX #L8 tardando demasiado dirección Garibaldi 😡,L8 ,Garibaldi 
6,06/Nov/2019,19:33:42,@MetroCDMX Bien asta que asen algo bueno,,
7,06/Nov/2019,19:34:02,"@brendadiaztv @MetroCDMX Iba con mi novio y respetamos el vagon exclusivo. Aun así, no deben de estar consumiendo drogas en el metro 😒😒",,
8,06/Nov/2019,19:35:16,@brendadiaztv @MetroCDMX Super fuera de lugar tu comentario,,
9,06/Nov/2019,19:37:14,"Qué coraje e impotencia...
En la salida del metro camarones ninguna escalera sirve, personas de la era edad con bastón subiendo 4 pisos...
@MetroCDMX @Claudiashein pa cuándo darán buen sevicio.
Ah perdón se me olvidaba que la jefa de gobierno es solo la chacha de la CDMX",4 ,camarones 
10,06/Nov/2019,19:37:41,"Aunque suene paradójico, hay un lugar subterráneo donde se ven las constelaciones 🌠 del zodiaco. 😳 ¡Así como lo lees 🧐! Se trata del Túnel de la Ciencia 🔭 del @MetroCDMX 🚇, ubicado en el pasillo que une las líneas 3 y 5 de la #EstaciónLaRaza. Conoce más en este hilo 🧵.👇🏽 https://t.co/5HGTNbiD18",3 5 ,
11,06/Nov/2019,19:37:52,🤣🤣🤣🤣🤣 Tuitazo!,,
12,06/Nov/2019,19:37:58,@MetroCDMX 😱¿Cómo llegó hasta ahí el pendejo ese? Se llamará perrito Obrador,,
13,06/Nov/2019,19:38:57,"Esta mañana el #ConferencistaCarlosMayorga dijo en la Ciudad de #México 🇲🇽 Que ¡NINGUNA NACIÓN O PUEBLO PUEDE SOBREVIVIR O PROGRESAR SIN DIOS! Pasa este mensaje si crees que vale la pena, sino descártalo; nadie sabrá lo que hiciste @ConfCMayorga",,
14,06/Nov/2019,19:39:17,"@TlacaelelRey Remember la #L12 del @MetroCDMX.
Remember #Tláhuac.
😩😩😩",L12 ,
15,06/Nov/2019,19:40:04,"@MetroCDMX
¿A los despachadores de boletos no les enseñan: Buenos días, Buenas tardes, Buenas noches?

¡Parece que los tienen a huevo!!",,
16,06/Nov/2019,19:43:26,@MetroCDMX por favor reparen ecaleras de estación tezonco. Dirección Mixcoac. No se ve personal trabajando. Hay gente quele cuesta trabajo subir. URGE!!!!!!,,
17,06/Nov/2019,19:43:29,"Esto 🐶 💖 👏 👇🏼

Este perrito quedó atrapado a 8 metros de altura en un cajón de vías en la estación #Nopalera de la Línea 12; fue rescatado sano y salvo y fue trasladado al Centro de Transferencia Canina @MetroCDMX https://t.co/LxOy7FWzDO",linea3 8 12 ,Centro Centro Nopalera 
18,06/Nov/2019,19:44:22,@MetroCDMX En la línea B llevamos esperando 15 minutos. Qué pasa @MetroCDMX ???,,
19,06/Nov/2019,19:45:14,@Duckiin @MetroCDMX ¿Te acuerdas cuando te dije que parecía que estaban probando y por eso iba tarde a inglés? @Osv_Ji 😂,,
20,06/Nov/2019,19:45:54,@MetroCDMX el metro en Eugenia arranca sin abrir puertas lamentable servicio.,linea3 ,Eugenia 
21,06/Nov/2019,19:46:29,Q paso @MetroCDMX en barranca ninguna de tus escaleras sirve y personas de la tercera edad apenas si pueden subir @MetroCDMX as algo no chinguen!!!! https://t.co/BLxTQ4irVw,linea7 ,barranca 
22,06/Nov/2019,19:47:38,@ARMAGEDDON50 @MetroCDMX @Claudiashein Que no eres chilango..?el metro sin ambulantaje no es metro.!!,,
23,06/Nov/2019,19:48:20,Se trata del primer rescate de un can en un tramo elevado del Metro. 🐶🐕@MetroCDMX #AUnMetroDeSuHogar #AdoptaNoCompres #CentroDeTransferenciaCanina,,
24,06/Nov/2019,19:48:37,"Esto 🐶 💖 👏 👇🏼

Este perrito quedó atrapado a 8 metros de altura en un cajón de vías en la estación #Nopalera de la Línea 12; fue rescatado sano y salvo y fue trasladado al Centro de Transferencia Canina @MetroCDMX https://t.co/LxOy7FWzDO",linea3 8 12 ,Centro Centro Nopalera 
25,06/Nov/2019,19:49:31,"Estos son los verdaderos problemas , mantenimiento , refacciones , trenes , ambulantes , corrupción y no la cortina de humo que hace su cuñado limpiando pasillos para que vendan los ambulantes @MetroCDMX @FirenzeM @DenunciasMetro @Dagda2018 @FrancoZepeda6 @arizpe_javier https://t.co/WEtO8A89h5",,
26,06/Nov/2019,19:49:48,@UCS_GCDMX @MetroCDMX @SSP_CDMX Si deseo proceder en contra de los PBI del metro Zapata,linea3 ,Zapata Zapata 
27,06/Nov/2019,19:51:38,"Sale banda caíganle a la estación del @MetroCDMX #Tacuba línea 7, #LaTremendaKorte está deleitando con su #ska a los usuarios, si no pueden póngale al #Telediarioenel6 con @azucenau y @janupi https://t.co/z6Ye4jHsmb",linea2 7 ,Tacuba Tacuba 
28,06/Nov/2019,19:51:39,@MetroCDMX La linea 12 viene hasta el full gracias a que se viene pare y pare,12 ,
29,06/Nov/2019,19:52:16,"Primero, vagones exclusivos para mujeres, después, entradas exclusivas (torniquetes) para mujeres ¿qué sigue? Horarios para que viajen exclusivamente mujeres? ¿Uso exclusivo del metro solo para mujeres? @MetroCDMX  #YaBasta #Discriminacion #HDP",,
30,06/Nov/2019,19:53:23,@MetroCDMX Sigue sin haber cambip de tarjetas en ninguna estación del linea #L8,L8 ,
31,06/Nov/2019,19:54:01,"Esto 🐶 💖 👏 👇🏼

Este perrito quedó atrapado a 8 metros de altura en un cajón de vías en la estación #Nopalera de la Línea 12; fue rescatado sano y salvo y fue trasladado al Centro de Transferencia Canina @MetroCDMX https://t.co/LxOy7FWzDO",linea3 8 12 ,Centro Centro Nopalera 
32,06/Nov/2019,19:54:21,@MetroCDMX @marben16 #L8 no ay en ningun lado,L8 ,
33,06/Nov/2019,19:54:41,@MetroCDMX Sigue sin haber cambip de tarjetas en ninguna estación del linea #L8,L8 ,
34,06/Nov/2019,19:54:58,@MetroCDMX La linea 12 viene hasta el full gracias a que se viene pare y pare,12 ,
35,06/Nov/2019,19:55:54,@ChepoCheps  : @MetroCDMX el metro en Eugenia arranca sin abrir puertas lamentable servicio.,linea3 ,Eugenia 
36,06/Nov/2019,19:56:27,@MetroCDMX por favor reparen ecaleras de estación tezonco. Dirección Mixcoac. No se ve personal trabajando. Hay gente quele cuesta trabajo subir. URGE!!!!!!,,
37,06/Nov/2019,19:57:15,"@MetroCDMX
¿A los despachadores de boletos no les enseñan: Buenos días, Buenas tardes, Buenas noches?

¡Parece que los tienen a huevo!!",,
38,06/Nov/2019,19:58:01,"@MetroCDMX Un tipo se viene drogando en la línea B del metro, el número de tren es 1139. Estamos en la estación San Lázaro",,
39,06/Nov/2019,20:00:30,#CachaAlMacho que no respeta los espacios exclusivos para #mujeres en el @MetroCDMX @MetrobusCDMX @GobCDMX https://t.co/nlreyhOdSM,,
40,06/Nov/2019,20:01:44,#CachaAlMacho y a las machas también! que no respetan los espacios exclusivos para #mujeres en el @MetroCDMX @MetrobusCDMX https://t.co/mxYgcKprB4,,
41,06/Nov/2019,20:02:20,Q paso @MetroCDMX en barranca ninguna de tus escaleras sirve y personas de la tercera edad apenas si pueden subir @MetroCDMX as algo no chinguen!!!! https://t.co/BLxTQ4irVw,linea7 ,barranca 
42,06/Nov/2019,20:02:25,"Esto 🐶 💖 👏 👇🏼

Este perrito quedó atrapado a 8 metros de altura en un cajón de vías en la estación #Nopalera de la Línea 12; fue rescatado sano y salvo y fue trasladado al Centro de Transferencia Canina @MetroCDMX https://t.co/LxOy7FWzDO",linea3 8 12 ,Centro Centro Nopalera 
43,06/Nov/2019,20:02:38,@MetroCDMX Cómo subió hasta ahí?! Pobre bebé! 😱🐕,,
44,06/Nov/2019,20:02:54,¡No dejen de darse un viaje por este hilo! :) Es una nota :),,
45,06/Nov/2019,20:02:57,"Ven al Museo Nacional de Arquitectura #MUNARQ y conoce la historia del medio de transporte más usado en nuestra ciudad. Recorre ""@MetroCDMX 50 años"" y aprecia fotografías históricas, maquetas y videos. ¡Se despide este #FinDeSemana! https://t.co/OdY5gfyvL3 #CapitalCultural https://t.co/n1uAGRy8kp",,
46,06/Nov/2019,20:03:41,"Ven al Museo Nacional de Arquitectura #MUNARQ y conoce la historia del medio de transporte más usado en nuestra ciudad. Recorre ""@MetroCDMX 50 años"" y aprecia fotografías históricas, maquetas y videos. ¡Se despide este #FinDeSemana! https://t.co/OdY5gfyvL3 #CapitalCultural https://t.co/n1uAGRy8kp",,
47,06/Nov/2019,20:03:59,Así fue el rescate de un perro en el Metro... ¡A ocho metros de altura! bravooooooooooo! ⁦@MetroCDMX⁩ 👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽 https://t.co/oawZjjVj0u,,
48,06/Nov/2019,20:06:20,@MetroCDMX Excelente labor 👏🏼👏🏼👏🏼,,
49,07/Nov/2019,21:28:44,"NO le jueguen al #Tururú...

Un toque en la casa es de 110 voltios.
En el trabajo alcanza los 220.
Con cualquier de los dos, sientes morir.

En el @MetroCDMX, el “llegue” es de 750 voltios. ¡Te mata de una!

Detalles a las 2 en @HMeridiano @AztecaNoticias @AztecaUno https://t.co/EAwoSYM9Ir",2 ,
50,07/Nov/2019,21:29:04,@MetroCDMX Los vagoneros son los chulos del metro y ratas que Te bolsean..los polis luego nomas están de adorno. Los conductores  se deben dar cuenta de todo.,,
51,07/Nov/2019,21:31:55,"@MetroCDMX al parecer se le tiene que poner letrero a cada uno de los lugares reservados, o no dejar que los tapen con anuncios para que la gente respete! #aguas #quejaciudadana",,
52,07/Nov/2019,21:32:03,"Las 12 líneas del @MetroCDMX son vigiladas por 3 mil 761 policías de la #CDMX 

https://t.co/xphCmAg1p1",3 12 ,
53,07/Nov/2019,21:32:18,@MetroCDMX Pues la línea A tarda más de lo que dicen 🙄,,
54,07/Nov/2019,21:32:35,@alertasurbanas El de Xola y Cuauhtemoc en la glorieta del metro @MetroCDMX Etiopía. Rosita Mancera y @Claudiashein serían responsables en caso de colapso. Hay una terminal del @MetrobusCDMX justo a un lado.,linea1 ,Cuauhtemoc Xola terminal 
55,07/Nov/2019,21:32:38,"@kevorgia @alertasurbanas @MetroCDMX @Claudiashein @MetrobusCDMX Ese edificio no tiene daño estructural severo. Se dañaron acabados, fachada, muros divisorios. En todo caso, puedes comprarlo y tirarlo si lo deseas. Está en venta",,
56,07/Nov/2019,21:33:09,@hecid @alertasurbanas @MetroCDMX @Claudiashein @MetrobusCDMX Me imagino que el precio es módico de acuerdo a la ruina en que está. Esa zona fue muy golpeada durante el sismo del 2K17. De hecho los vecinos de @ColoniaNarvarte viven intranquilos. Si esta tan bien porqué no se restaura?! Si yo fuera @CNPC_MX lo demolería. @Claudiashein,,
57,07/Nov/2019,21:33:34,@MetroCDMX 👏🏻,,
58,07/Nov/2019,21:33:37,"🚇#AvisoMetro🚇

Dice la rima: ""Vaya vaya, #Tacubaya, si no conoce mejor ni vaya""; por enésima vez, las escaleras de esta importante #correspondencia de #MetroCDMX, no están 😡😡en uso! este #7nov2019  
#Línea1 #L1

Hagamos HT #NomásfallasMetroCDMX
#LadeHoyDelMetro
#MovilidadCDMX https://t.co/DE55MTsa6T https://t.co/L3dv3RPJGO",Línea1 L1 ,Tacubaya Tacubaya Tacubaya 
59,07/Nov/2019,21:34:13,"@jckillerbear @marialucke @MetroCDMX @Claudiashein Al contrario, es bueno denunciar. No  entiendo a @MetroCDMX  porque quiere que se haga por correo aparte del Twitter. Y no es me no me guste a mi. Si no denunciamos, no hay cambio.",,
60,07/Nov/2019,21:34:28,"Esas taquilleras del @MetroCDMX de pantitlan en #Linea9 te mandan a la chingada a diestra y siniestra, solo por que están detrás de un vidrio se sienten intocables @Claudiashein un ojito a tus empleados",linea1 Linea9 ,pantitlan pantitlan pantitlan pantitlan 
61,07/Nov/2019,21:34:49,"El Sistema de Transporte Colectivo #STC implementó una estrategia para inhibir y disminuir la incidencia delictiva en el @MetroCDMX , con lo cual se ha logrado reducir en 54.77% los casos de robo a pasajero en esta Red de movilidad. 

https://t.co/UI7gyg6L5b",,
62,07/Nov/2019,21:34:52,"1/7 Anoche en el último metro del día tuvimos que enfrentar la prepotencia de los trabajadores del @MetroCDMX  invadiendo los espacios exclusivos. Antes de que llegara el metro, le informé al único guardia de la estación que el área exclusiva para mujeres estaba llena de hombres. https://t.co/sYkywQKSYO",,
