,Unnamed: 0,date,hour,tweet,linea,estacion
0,0,14/Nov/2019,18:38:38,Agarran a John Lennon vendiendo sus discos pirata en metro Indios Verdes @MetroCDMX https://t.co/TWZiyBu0Ft,linea3 ,Indios Verdes 
1,1,14/Nov/2019,18:39:21,"@MetroCDMX Ya no cambian tarjetas desde el 01 de Noviembre lo único que dicen que es en los puntos que ya establecieron, pero es mentira ya no las están cambiando. Hay te encargamos Jefa de Gobierno @Claudiashein",,
2,2,14/Nov/2019,18:41:07,"Este jueves, el @FESTIVALMIX presenta el documental del director @AlfredoGalindo, ofrece testimonios de personas #Lgbt y aliados en México.
La cita es hoy jueves 14 de noviembre en el cine de la estación del @MetroCDMX #Zapata 🎥🏳️‍🌈 https://t.co/qMX2ImsVWT",linea3 ,Zapata Zapata 
3,3,14/Nov/2019,18:42:22,@MetroCDMX ayuden a compartir por favor https://t.co/YBWWyRxXCd,,
4,4,14/Nov/2019,18:44:35,@ari_santillan @JusticiaCivica @MetroCDMX @SSP_CDMX @FirenzeM @ErnestinaGodoy_ @PGJDF_CDMX Ahhhhh pero qué tal! Lleno de ambulantes!!!,,
5,5,14/Nov/2019,18:47:25,"@JosLuisLpezGar6 Hola, notificamos a @MetroCDMX  para su debida atención.",,
6,6,14/Nov/2019,18:51:03,"@MetroCDMX @LaSEMOVI @GobCDMX El metrobus ha fracasado como medio alterno de transporte. Datos del @INEGI_INFORMA demuestran que entre 2005 y 2018 el # de autos en circulación se duplicó. Queremo un plan real d movilidad, rescate plan maestro de @MetroCDMX, #trolebus, ciclopistas https://t.co/C8ijQBNhrJ",,
7,7,14/Nov/2019,18:51:16,"Con punto de acuerdo exhortamos a la titular del Sistema de Transporte Colectivo @MetroCDMX, brinde a los miembros de Comités Vecinales su derecho a la gratuidad.

#MiPasiónSERVIR #CambiosReales #HéctorBarrera #TodosSomosHB #SíHayDeOtra https://t.co/akPpjJRway",,
8,8,14/Nov/2019,18:53:08,"Este jueves, el @FESTIVALMIX presenta el documental del director @AlfredoGalindo, ofrece testimonios de personas #Lgbt y aliados en México.
La cita es hoy jueves 14 de noviembre en el cine de la estación del @MetroCDMX #Zapata 🎥🏳️‍🌈 https://t.co/qMX2ImsVWT",linea3 ,Zapata Zapata 
9,9,14/Nov/2019,18:54:33,"Con punto de acuerdo exhortamos a la titular del Sistema de Transporte Colectivo @MetroCDMX, brinde a los miembros de Comités Vecinales su derecho a la gratuidad.

#MiPasiónSERVIR #CambiosReales #HéctorBarrera #TodosSomosHB #SíHayDeOtra https://t.co/akPpjJRway",,
10,10,14/Nov/2019,18:54:38,@KillerQ16054101 @DenunciasMetro @Elfranc72766765 @MetroCDMX @FirenzeM @Claudiashein @Dalila_Sarabia @Dagda2018 @arizpe_javier @FrancoZepeda6 @Contralacorru13 @lopezobrador_ @ContraloriaCDMX Son de la empresa de @FirenzeM obvio usa un prestanombres,,
11,11,14/Nov/2019,18:54:48,@Elfranc72766765 @MetroCDMX @FirenzeM @Claudiashein @DenunciasMetro @Dalila_Sarabia @Dagda2018 @arizpe_javier @FrancoZepeda6 @Contralacorru13 @lopezobrador_ @ContraloriaCDMX Se los dije!! Estación 18 de marzo línea 6 otro de estos... A ver cuantos más aparecen en todo el sistema 😒 https://t.co/zfZRQagDDa,6 ,
12,12,14/Nov/2019,18:55:33,@MetroCDMX  ¿Por qué el servicio en la #L3 es tan lento?,L3 ,
13,13,14/Nov/2019,18:58:09,@KillerQ16054101 @DenunciasMetro @Elfranc72766765 @MetroCDMX @FirenzeM @Claudiashein @Dalila_Sarabia @Dagda2018 @arizpe_javier @FrancoZepeda6 @Contralacorru13 @lopezobrador_ @ContraloriaCDMX Son de la empresa de @FirenzeM obvio usa un prestanombres,,
14,14,14/Nov/2019,18:59:14,@zoerobledo @Tu_IMSS Muy bien...humildad...proactividad y practicidad ...#Chiapanecos #Chiapas @MetroCDMX,,
15,15,14/Nov/2019,18:59:27,"Oigan, en la entrada del @MetroCDMX  Eugenia dirección Universidad, el acceso para personas en sillas de ruedas está obstaculizado. ¿Que pasó ahí? @BJAlcaldia https://t.co/Sfc7J6PgvI",linea3 ,Eugenia Universidad 
16,16,14/Nov/2019,19:01:09,@Elfranc72766765 @MetroCDMX @FirenzeM @Claudiashein @DenunciasMetro @Dalila_Sarabia @Dagda2018 @arizpe_javier @FrancoZepeda6 @Contralacorru13 @lopezobrador_ @ContraloriaCDMX Se los dije!! Estación 18 de marzo línea 6 otro de estos... A ver cuantos más aparecen en todo el sistema 😒 https://t.co/zfZRQagDDa,6 ,
17,17,14/Nov/2019,19:01:57,"#LaPolicíaAuxiliarTeCuida. Esta mañana los efectivos del GFR, adscritos al #Sector54 Base Murciélago, detuvieron a un masculino por posesión de hierba verde seca, con características propias de marihuana. @MetroCDMX, #Pantitlán #PolicíaAuxiliar #ComunidadPA #Detención #Seguridad https://t.co/yW3TqFMmCq",verde ,
